"GenusID_idx";"SpeciesID";"Extinct";"SpeciesEn";"SpeciesSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment";"SpeciesUA"
23652;23653;;"Buff-bellied Warbler";"Phyllolais pulchella";"(Cretzschmar, 1830)";"AF : s Niger and n Nigeria to Eritrea, Ethiopia, Kenya and Tanzania";;;;"Акаційовик "
23654;23655;;"Bar-throated Apalis";"Apalis thoracica";"(Shaw, 1811)";"AF : s";;;;"Нікорник смуговолий"
23654;23674;;"Yellow-throated Apalis";"Apalis flavigularis";"Shelley, 1893";"AF : Malawi";;;;"Нікорник жовтогорлий"
23654;23675;;"Taita Apalis";"Apalis fuscigularis";"Moreau, 1938";"AF : Kenya";;;;"Нікорник таїтайський"
23654;23676;;"Namuli Apalis";"Apalis lynesi";"Vincent, 1933";"AF : Mozambique";;;;"Нікорник нумалійський"
23654;23677;;"Rudd's Apalis";"Apalis ruddi";"Grant, CHB, 1908";"AF : se";;;;"Нікорник білобровий"
23654;23681;;"Yellow-breasted Apalis";"Apalis flavida";"(Strickland, 1853)";"AF : widespread";;;;"Нікорник жовтоволий"
23654;23691;;"Lowland Masked Apalis";"Apalis binotata";"Reichenow, 1895";"AF : s Cameroon, c Gabon, nw Angola, ne DR Congo, nw Tanzania and Uganda";;;;"Нікорник вусатий"
23654;23692;;"Mountain Masked Apalis";"Apalis personata";"Sharpe, 1902";"AF : ec";;;;"Нікорник чорнощокий"
23654;23695;;"Black-throated Apalis";"Apalis jacksoni";"Sharpe, 1891";"AF : c, e";;;;"Нікорник біловусий"
23654;23699;;"White-winged Apalis";"Apalis chariessa";"Reichenow, 1879";"AF : e";;;;"Нікорник білокрилий"
23654;23702;;"Black-capped Apalis";"Apalis nigriceps";"(Shelley, 1873)";"AF : c, w";;;;"Нікорник сьєра-леонський"
23654;23705;;"Black-headed Apalis";"Apalis melanocephala";"(Fischer, GA & Reichenow, 1884)";"AF : e";;;;"Нікорник чорноголовий"
23654;23715;;"Chirinda Apalis";"Apalis chirindensis";"Shelley, 1906";"AF : se";;;;"Нікорник попелястий"
